Ele 10 - RMS,,,,,,,,Ele 1 - RMS,,,,,,
Min Obs \ Lat Range,4,6,8,10,12,14,,Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5,Lat 6
80,0.000563412,0.017484553,0.084117415,0.25071835,0.362104907,0.453321314,,,-0.582215912,-0.865685591,-0.442216307,-0.17260435,-0.124674741,-0.058380125
90,0,0.008094353,0.049899525,0.158562924,0.306064191,0.404342029,,,0,-0.946353035,-0.532906911,-0.282657824,-0.146202217,-0.079381749
,,,,,,,,,,,,,,
Ele 20 - RMS,,,,,,,,Ele 3 - RMS,,,,,,
Min Obs \ Lat Range,4,6,8,10,12,14,,Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5,Lat 6
10,3.429203842,3.35635418,3.372173131,3.37513543,3.35872582,3.385616628,,Min Obs 1,3.602086727,3.47261926,3.42758103,3.360834285,3.319107456,3.33175793
20,3.498465166,3.359221374,3.350333212,3.392997044,3.33793548,3.357773569,,Min Obs 2,3.739862487,3.555009205,3.471419566,3.400255899,3.314380586,3.312709374
30,3.655137099,3.376651015,3.374218571,3.375825357,3.352540138,3.344250731,,Min Obs 3,3.944214114,3.63494458,3.524122748,3.424909286,3.345891789,3.304582398
40,2.942378641,3.467359668,3.432911441,3.37549357,3.353760841,3.342311317,,Min Obs 4,3.35577469,3.761969749,3.599886757,3.476293606,3.388667739,3.327324397
50,2.155490722,3.571005606,3.458853802,3.389295544,3.358710938,3.342583981,,Min Obs 5,2.386218754,3.88827681,3.676052602,3.52904089,3.424927776,3.350824345
60,1.968983935,3.107566125,3.528616993,3.40686613,3.397230309,3.327724642,,Min Obs 6,2.212370958,3.54817368,3.787512622,3.588077792,3.497268006,3.381962872
70,2.202249357,2.635906258,3.532513133,3.46929952,3.445837861,3.35874378,,Min Obs 7,2.8136227,3.244232669,3.860357835,3.670996946,3.56519528,3.435322472
80,2.413661913,2.706568827,3.669536566,3.575485622,3.429095874,3.386847147,,Min Obs 8,2.934777701,3.365432214,3.961778655,3.774856053,3.595608034,3.488697944
90,nan,2.390276177,3.324819987,3.642725206,3.467184683,3.458718435,,Min Obs 9,nan,3.119474423,3.641336113,3.929280662,3.643578076,3.580832841
,,,,,,,,,,,,,,
Ele 20 - Percent,,,,,,,,,,,,,,
Min Obs \ Lat Range,4,6,8,10,12,14,,,,,,,,
10,0.274663361,0.38659455,0.483407516,0.566942739,0.631359513,0.674009803,,,-0.172882885,-0.116265081,-0.055407899,0.014301145,0.039618364,0.053858699
20,0.220049956,0.319886566,0.425770466,0.510695438,0.585253629,0.632204631,,,-0.241397321,-0.195787831,-0.121086354,-0.007258856,0.023554894,0.045064195
30,0.16776532,0.269048021,0.37675362,0.458166657,0.533344602,0.586925085,,,-0.289077015,-0.258293565,-0.149904177,-0.049083928,0.00664835,0.039668333
40,0.020752343,0.216199974,0.315942682,0.402839597,0.484196293,0.545157474,,,-0.413396049,-0.294610081,-0.166975316,-0.100800035,-0.034906898,0.01498692
50,0.005014367,0.157755366,0.258568558,0.348320093,0.433902379,0.502000113,,,-0.230728032,-0.317271204,-0.2171988,-0.139745346,-0.066216838,-0.008240364
60,0.003587057,0.03840592,0.206866115,0.298796176,0.377767762,0.450823521,,,-0.243387024,-0.440607555,-0.258895629,-0.181211662,-0.100037698,-0.05423823
70,0.000713655,0.015906999,0.123161868,0.248671287,0.31584878,0.401675212,,,-0.611373343,-0.608326412,-0.327844702,-0.201697426,-0.119357419,-0.076578692
80,0.000375608,0.010629707,0.053655605,0.198414934,0.266493887,0.348977407,,,-0.521115788,-0.658863386,-0.292242089,-0.19937043,-0.16651216,-0.101850797
90,0,0.004526077,0.030987661,0.113734107,0.224256766,0.291096212,,,0,-0.729198246,-0.316516126,-0.286555456,-0.176393394,-0.122114406
